"publisher.keyword: Descending",Count
"Microbiology Society",53713
"FapUNIFESP (SciELO)",51811
"American Society of Civil Engineers",50813
"Radiological Society of North America (RSNA)",50591
"Johns Hopkins University Press",49533
"Springer Nature America, Inc",47646
"American Vacuum Society",47544
IEE,46948
"Japan Society of Civil Engineers",44655
"American Society of Plant Biologists (ASPB)",42771
"American Mathematical Society (AMS)",42543
"American Chemical Society",41380
"American Public Health Association",39937
"Bentham Science Publishers Ltd.",39034
"John Benjamins Publishing Company",38963
"American Diabetes Association",38935
"RCN Publishing Ltd.",38495
BioScientifica,38420
"American Meteorological Society",38302
"Japanese Society of Internal Medicine",36667
"American Society for Microbiology",36604
"WORLD SCIENTIFIC",36412
"Springer Singapore",35142
"American Thoracic Society",34416
"American Association of Physics Teachers (AAPT)",34266
Medknow,34115
"Thomas Telford Ltd.",33962
"Annual Reviews",32264
"Institute for Operations Research and the Management Sciences (INFORMS)",31889
"Mark Allen Group",31238
ASME,30583
"Society for Industrial & Applied Mathematics (SIAM)",29792
"American Roentgen Ray Society",28705
"Japan Society for Analytical Chemistry",28666
"Spandidos Publications",27686
"Human Kinetics",27664
"Journal of Neurosurgery Publishing Group (JNSPG)",26359
"The American Association of Immunologists",25483
"American Physical Society (APS)",25144
"Humana Press",24917
"Trans Tech Publications",24774
"Japan Institute of Metals",24649
"Palgrave Macmillan UK",24378
"Allerton Press",23991
"Liverpool University Press",23896
"American Society of Hematology",23708
"The Optical Society",23022
"Copernicus GmbH",22398
"Society of Exploration Geophysicists",21684
"Georg Thieme Verlag KG",21207
"The Company of Biologists",20750
"Springer London",20552
"Cold Spring Harbor Laboratory",20531
"Duke University Press",20249
"Society of Polymer Science, Japan",20037
"Japanese Pharmacological Society",19854
"American Academy of Pediatrics (AAP)",19852
"American Scientific Publishers",19448
"Japanese Society of Fisheries Science",19092
"Ceramic Society of Japan",18992
"MIT Press - Journals",18781
"Wiley-VCH Verlag GmbH & Co. KGaA",18750
InTech,18734
"De Gruyter",18644
"Future Medicine Ltd",18630
"Informa Healthcare",18554
"IWA Publishing",18346
CAIRN,18311
"CRC Press",18249
"University of Toronto Press Inc. (UTPress)",17958
"Southern Medical Association",17663
"Author(s)",17649
OSA,17540
"West-Japanese Society of Orthopedics & Traumatology",17327
"Oxford University Press",17325
"World Scientific Pub Co Pte Lt",17282
"National Bureau of Economic Research",17246
"Japanese Society of Veterinary Science",17029
"Japan Society for Bioscience, Biotechnology, and Agrochemistry",16668
"Oto-Rhino-Laryngological Society of Japan, Inc.",16581
"American Dairy Science Association",16497
"Society of Chemical Engineers, Japan",16398
"British Institute of Radiology",15992
"Soil Science Society of America",15908
"The Society of Practical Otolaryngology",15449
"OMICS Publishing Group",15355
"SPIE-Intl Soc Optical Eng",15242
"American Society for Pharmacology & Experimental Therapeutics (ASPET)",14660
"AMERICAN CHEMICAL SOCIETY",14642
"Magnolia Press",14265
"Water Environment Federation",14183
"Japanese Circulation Society",14174
"Japan Endocrine Society",14001
"Association for Research in Vision and Ophthalmology (ARVO)",13617
"Royal College of Psychiatrists",12972
"Botanical Society of America",12903
"Institution of Engineering and Technology",12877
Intellect,12728
"Tohoku University Medical Press",12607
Brill,12400
"Biophysical Society of Japan",12393
"Brepols Publishers NV",12352
"American College of Physicians",12334
"Peeters Publishers",12311
"Japan Antibiotics Research Association",12282
FASEB,12266
"Geological Society of London",12189
"Canadian Center of Science and Education",12137
"Japanese Society for Food Science and Technology",12093
"Springer Fachmedien Wiesbaden",11991
"European Respiratory Society (ERS)",11906
"American Speech Language Hearing Association",11892
"Scientific Societies",11576
"Gutersloher Verlaghaus",11379
"American Society of Animal Science (ASAS)",11053
"American Educational Research Association (AERA)",10746
"Cambridge University Press",10730
"Transportation Research Board",10658
"Japan Neurosurgical Society",10511
"American Academy of Periodontology (AAP)",10493
"Thomas Telford Publishing",10458
"CSIRO Publishing",10246
"Joule Inc.",10222
"African Journals Online (AJOL)",10157
"American Society of Agricultural and Biological Engineers (ASABE)",9869
"The Surface Finishing Society of Japan",9838
"Springer Vienna",9777
"University of Wisconsin Press",9732
"Health Affairs (Project Hope)",9377
"Architectural Institute of Japan",9374
Schweizerbart,9240
"American Society of Agronomy",9112
ECS,8921
"Verlag Dr. Otto Schmidt",8910
"Japan Society for Occupational Health",8822
"AIP Publishing LLC",8709
"Inderscience Publishers",8658
"Society of Rubber Industry, Japan",8612
"Illuminating Engineering Society of Japan",8567
"The Academy of Management",8508
"Institutional Investor Journals",8297
"NACE International",8261
"Georg Thieme Verlag",8150
"Springer India",8080
"Institute of Electronics, Information and Communications Engineers (IEICE)",8041
"DE GRUYTER",8032
"Tokyo Geographical Society",7969
"The Japanese Association for Infectious Diseases",7837
"Japan Society of Physical Education, Health, and Sport Sciences",7787
"CrossRef Test Account",7760
"Wildlife Disease Association",7578
"American Society for Cell Biology (ASCB)",7556
"Japanese Association for Chest Surgery",7480
"American Veterinary Medical Association (AVMA)",7438
"Springer Japan",7432
"Philosophy Documentation Center",7369
"Project Muse",7345
"American Economic Association",7118
"Centers for Disease Control and Prevention (CDC)",7002
"Japan Institute of Light Metals",7000
"Palgrave Macmillan US",6926
"Society for Industrial and Applied Mathematics",6759
"Institute of Mathematical Statistics",6743
"Japan Society of Powder and Powder Metallurgy",6685
"Society of Physical Therapy Science",6678
IET,6674
KARGER,6668
"Guilford Publications",6571
"Rubber Division, ACS",6554
"International Society of Cytology",6533
"PAGEPress Publications",6494
"Society of Economic Geologists",6456
"Birkhäuser Basel",6443
"Bangladesh Journals Online (JOL)",6405
Apress,6355
"Society for the Experimental Analysis of Behavior",6303
"Ivyspring International Publisher",6265
"Geological Society of America",6241
"Genetics Society of America",5995
AOSIS,5986
"Termedia Sp. z.o.o.",5983
IBM,5881
"Seismological Society of America (SSA)",5820
"Society of Petroleum Engineers",5788
"Mohr Siebeck",5757
"IOS Press",5733
"Indiana University Press",5664
"Institute of Organic Chemistry & Biochemistry",5614
"The Pennsylvania State University Press",5585
"The Society of Powder Technology, Japan",5495
"American Society for Nutrition",5475
"Brewing Society of Japan",5400
"Japanese Society for Food Hygiene and Safety",5393
"Acta Dermato-Venereologica",5349
"Oceanside Publications Inc.",5313
"Japan Society of Applied Physics",5297
"American Astronomical Society",5282
"Berghahn Books",5277
"Japanese Society of Applied Entomology & Zoology",5263
"Blackwell Publishing Ltd",5259
"Japan Society of Medical Entomology and Zoology",5215
"Japan Society of Colour Material",5169
"VS Verlag für Sozialwissenschaften",5161
"Future Science, LTD",5127
"American Association for Clinical Chemistry (AACC)",5059
"University of Illinois Press",4989
"Meteorological Society of Japan",4898
"American Geophysical Union (AGU)",4883
"Environmental Health Perspectives",4837
"International Society for Horticultural Science (ISHS)",4828
"Japanese Association for Laboratory Animal Science",4814
"SciELO Comision Nacional de Investigacion Cientifica Y Tecnologica (CONICYT)",4799
"Birkhäuser Boston",4797
"Physical Society of Japan",4735
Routledge,4704
"Dove Medical Press Ltd.",4697
"Genetics Society of Japan",4674
"Nepal Journals Online (JOL)",4657
"Society of Rheology",4650
"International Press of Boston",4634
"Hogrefe Publishing Group",4615
"Society for Neuroscience",4611
"Springer Publishing Company",4521
"Society of Petroleum Engineers (SPE)",4505
"International Association for Bridge and Structural Engineering (IABSE)",4497
"Center for Academic Publications Japan",4494
"Springer-Verlag",4450
"Pan African Medical Journal",4414
"Journal of Orthopaedic & Sports Physical Therapy (JOSPT)",4386
"Maney Publishing",4385
"Japan Academy",4360
"The Scientific and Technological Research Council of Turkey",4270
"Society for Applied Anthropology",4268
"American Association for Cancer Research (AACR)",4267
"Edinburgh University Press",4155
"Iron and Steel Institute of Japan",4110
"Japan Society for Fuzzy Theory and Intelligent Informatics",4075
"Springer Milan",4075
"Princeton University Press",4060
"Carl Hanser Verlag",4055
"Academic Journals",4030
"American Society of Health System Pharmacists",3981
"John Wiley & Sons, Inc",3954
"Japan Society of Corrosion Engineering",3944
"Technical Association of Photopolymers, Japan",3900
"British Editorial Society of Bone & Joint Surgery",3782
"Japan Society on Water Environment",3732
"Japanese Society of Toxicology",3730
"American Journal of Science (AJS)",3721
"Mineralogical Society of America",3700
IRE,3641
"International Society of Histology & Cytology",3641
"Japan Society of Histochemistry & Cytochemistry",3618
GeoScienceWorld,3612
"MyJove Corporation",3597
"Beilstein Institut",3573
"Society for Sedimentary Geology",3564
"European Mathematical Publishing House",3534
"American Society of Agricultural and Biological Engineers",3523
"American Association of Pharmaceutical Scientists (AAPS)",3503
"Canadian Institute of Forestry",3497
"Society of Nuclear Medicine",3458
"Mineralogical Society",3441
"Baishideng Publishing Group Inc.",3384
"Scientific Journal Publishers Ltd",3350
"The Journal of Rheumatology",3331
"Zhejiang University Press",3283
"Wichtig Publishing, SRL",3249
"Vilnius Gediminas Technical University",3225
"Japanese Society for Hygiene",3174
"Turpion-Moscow Limited",3161
"Institute of Mathematics, Czech Academy of Sciences",3136
"AME Publishing Company",3125
"Frontiers in Bioscience",3113
"Springer Paris",3059
"Petroleum Society of Canada",3015
"Seismological Society of Japan",2996
"Royal College of Physicians",2902
"Telos Press",2893
"Frontline Medical Communications, Inc.",2869
"Asian Journal of Chemistry",2855
"Japan Society for Precision Engineering",2850
"American Cleft Palate Association",2820
"Brepols Publishers",2815
"Modern Humanities Research Association",2809
"Korean Academy of Medical Sciences (KAMJE)",2802
"IM Publications",2783
"The Japanese Society for Medical Mycology",2775
"Quintessence Publishing",2690
"Vieweg+Teubner Verlag",2667
"Macmillan Education UK",2662
"American Society of Tropical Medicine and Hygiene",2654
"Science Publications",2619
"American Institute of Physics",2597
"Korean Physical Society",2579
"Alphamed Press",2567
"Indian Society for Education and Environment",2553
"Pensoft Publishers",2541
"Chinese Journal of Cancer Research",2531
"The Electrochemical Society of Japan",2521
"Impact Journals, LLC",2493
"American Journal of Pharmaceutical Education",2482
"American Podiatric Medical Association",2468
"Science China Press., Co. Ltd.",2458
"Science Reviews 2000 LTD",2455
"Springer Fachmedien Wiesbaden GmbH",2449
"Institute of Development Studies",2417
"Physica-Verlag HD",2409
"The Policy Press",2397
"Ferrata Storti Foundation (Haematologica)",2395
"Nihon University School of Dentistry",2392
ASCE,2388
"International Union Against Tuberculosis and Lung Disease",2369
"Sciedu Press",2366
"Alcohol Research Documentation, Inc.",2361
"American Board of Family Medicine (ABFM)",2356
"Nomos Verlag",2356
"Society for Leukocyte Biology",2333
"Crop Science Society of America",2325
"Akademiai Kiado Zrt.",2297
"Macrothink Institute, Inc.",2293
"The Japanese Association of Special Education",2277
"Universidade de Sao Paulo Sistema Integrado de Bibliotecas - SIBiUSP",2272
"Yonsei University College of Medicine (KAMJE)",2271
"IMPERIAL COLLEGE PRESS",2266
"Swets & Zeitlinger Publishers",2242
"The Operations Research Society of Japan",2242
"Kluwer Academic Publishers",2241
"Universidade Federal de Santa Catarina (UFSC)",2215
"Geochemical Society of Japan",2212
"AVES Publishing Co.",2205
"Universidade Estadual de Maringa",2185
"Australasian Medical Publishing Co. Pty Ltd. (AMPCo)",2154
"American Marketing Association (AMA)",2147
"The Korean Society of Radiology (KAMJE)",2137
Gabler,2133
SensePublishers,2118
EMBO,2112
"Atomic Energy Society of Japan",2100
"Sociedad Espanola de Nutricion Parenteral y Enteral (SENPE)",2082
"John Wiley & Sons Ltd",2067
"Emerald Group Publishing Limited",2063
"Universidad Nacional de Colombia",2057
"BMJ Publishing Group Ltd and European League Against Rheumatism",2027
"Society of Motion Picture and Television Engineers (SMPTE)",2027
"Japan Society of Health Evaluation and Promotion",2026
Portico,2017
"American Registry of Professional Animal Scientists",2015
"The Haworth Press",1984
"Societas Neurologica Japonica",1965
"American Association of Petroleum Geologists AAPG/Datapages",1958
"Penn State Press (Project Muse)",1957
"Emerald Publishing Limited",1949
"Zoological Society of Japan",1933
"National Council of Teachers of Mathematics",1931
"Cognizant, LLC",1928
"Swiss Chemical Society",1913
"Earthquake Engineering Research Institute",1908
"Mathematical Sciences Publishers",1907
"Columbia University Press",1900
"BMJ Publishing Group Ltd",1877
"Inter-Research Science Center",1865
"Walter de Gruyter",1842
"University of Pennsylvania Press",1826
"International Phycological Society",1823
"American Nuclear Society",1813
"Amsterdam University Press",1796
"American Fisheries Society",1781
"Institute of Noise Control Engineering (INCE)",1772
"Kowsar Medical Institute",1770
"The Botanical Society of Japan",1767
"American Society of Clinical Oncology (ASCO)",1765
"GSE Research Limited",1761
"Universidade Federal do Parana",1744
"Japan Epidemiological Association",1732
"AACN Publishing",1726
"Association for Computational Linguistics",1710
"SLACK, Inc.",1710
"British Medical Journal Publishing Group",1709
"Mathematical Association of America",1702
"Royal College of Surgeons of England",1674
BioResources,1670
"American School of Classical Studies at Athens (ASCSA)",1659
"Coastal Education and Research Foundation",1658
"UNED - Universidad Nacional de Educacion a Distancia",1648
"MultiMed Inc.",1643
"Gabler Verlag",1637
"American Library Association",1630
"Genetics and Molecular Research",1629
"American Peanut Research and Education Society",1605
"White Horse Press",1601
"Institute of Mathematics, University of Tsukuba",1577
"Japanese Association of Indian and Buddhist Studies",1572
"Innovare Academic Sciences Pvt Ltd",1571
"Science and Engineering Research Support Society",1565
"Association for the Advancement of Medical Instrumentation (AAMI)",1553
"American Society of International Law",1548
"Springer Basel",1529
"Annals of Family Medicine",1522
"The Angle Orthodontist (EH Angle Education & Research Foundation)",1519
"Equinox Publishing",1511
"James Nicholas Publishers",1511
"World Scientific Publishing Company",1483
"Daedalus Enterprises",1469
"British Institute of Non-Destructive Testing (BINDT)",1464
"Harborside Press, LLC",1459
"John Wiley & Sons, Ltd.",1459
"Growing Science",1429
"Japan Institute of Heterocyclic Chemistry",1426
"Pakistan Journal of Medical Sciences",1426
"Estonian Academy Publishers",1424
"Scitechnol Biosoft Pvt. Ltd.",1420
"The Magnetics Society of Japan",1415
"Aerospace Medical Association",1394
"Information Processing Society of Japan",1390
"INIST-CNRS",1386
"PUBLISHED BY IMPERIAL COLLEGE PRESS AND DISTRIBUTED BY WORLD SCIENTIFIC PUBLISHING CO.",1373
"Institute of Electrical Engineers of Japan (IEE Japan)",1370
"Alliance for Children and Families",1359
"S. KARGER AG",1353
"IGI Global",1351
"Boydell and Brewer Limited",1346
"University of Toronto Press",1342
ESG,1331
"Japan Society of Physiological Anthropology",1326
" National Bureau of Economic Research ",1324
"Japan Society of Hepatology",1321
"The Econometric Society",1304
"Japanese Society of Microbial Ecology",1302
"Laser Institute of America",1296
"Environment and Engineering Geophysical Society",1284
"International Association for Food Protection",1283
"Western Journal of Emergency Medicine",1281
"Crop Science Society of Japan",1275
"Marshfield Clinic Research Foundation",1274
"ScopeMed International Medical Journal Management and Indexing System",1271
"Japan Oil Chemists' Society",1270
"AEPress, s.r.o.",1255
"Mycotaxon, Ltd.",1238
"American Accounting Association",1222
"GN1 Genesis Network",1215
"EMW Publishing",1210
"University of Hawaii Press",1209
"Penerbit UTM Press",1203
"Medip Academy",1202
"American Institute of Mathematical Sciences (AIMS)",1187
"Atlantis Press",1186
"Galenos Yayinevi",1186
"The Japan Society for Educational Sociology",1184
"EManuscript Services",1182
"Humboldt Field Research Institute",1177
"World Literature Today",1174
"Pion Ltd",1163
"Canadian Urological Association Journal",1155
"The Journal of AOAC International",1146
"Universidade Estadual de Londrina",1137
"Edward Elgar Publishing",1132
"The Academy of Clinical Dentistry",1125
"Mineralogical Association of Canada",1122
"Faculty of Medicine, Universitas Indonesia",1118
"Jaypee Brothers Medical Publishing",1114
"Journal of Marine Research/Yale",1111
"Korean Ophthalmological Society (KAMJE)",1103
"University of Nebraska Press",1103
"Korean Dermatological Association and The Korean Society for Investigative Dermatology (KAMJE)",1099
"J.B. Metzler",1087
"American Academy of Audiology",1067
"Oriental Scientific Publishing Company",1066
"American Association on Intellectual and Developmental Disabilities (AAIDD)",1058
"Maxwell Scientific Publication Corp.",1056
"Scientific Research Publishing, Inc,",1049
"American Helicopter Society",1047
"International Heart Journal (Japanese Heart Journal)",1044
"American Society of Parasitologists",1038
"American Society of Agronomy, Crop Science Society of America, Soil Science Society of America",1037
"Surface Science Society Japan",1022
"Kare Publishing",1016
"Korean Society of Nursing Science (KAMJE)",1016
"VLDB Endowment",1015
"Science Publishing Corporation",1014
"Servicio de Publicaciones de la Universidad de Murcia",1014
"CFA Institute",1008
"Practical Action Publishing",997
"Marine Technology Society",988
"Florida Entomological Society",983
"Japan Society of Geoinformatics",967
"Academy and Industry Research Collaboration Center (AIRCC)",965
"IEEE Comput. Soc. Press",963
"Medicina Oral, S.L.",959
"Japan Association of Food Preservation Scientists",958
"The Society of Synthetic Organic Chemistry, Japan",954
"Wayne State University Press",949
"The Society for the Study of Evolution",948
"International Association for Plant Taxonomy",934
"The Korean Society of Cardiology (KAMJE)",931
"Japanese Association of Groundwater Hydrology",929
"Mathematical Society of Japan (Project Euclid)",929
"Japanese Association of Mycotoxicology",924
"Pluto Journals",923
"Cooper Ornithological Society",922
"Universidad Complutense de Madrid (UCM)",913
"Japanese Society for Dental Materials and Devices",910
"American Epilepsy Society",908
"American Society for Photobiology",904
"Rocky Mountain Mathematics Consortium",902
"Dougmar Publishing Group, Inc.",900
"Institute of Archaeology and Ethnography SB RAS",899
"University of Minnesota Press",898
"Index Copernicus",893
"Wilson Ornithological Society",892
"Now Publishers",880
"Institute of Research and Community Services Diponegoro University (LPPM UNDIP)",879
"Japanese Society for Horticultural Science",875
"American Association of Zoo Veterinarians",874
"Japanese Society of Breeding",874
"Operative Dentistry",867
"Thomas Land Publishers",864
"University of Notre Dame",864
"Sociedade Portuguesa de Estomatologia e Medicina Dentaria (SPEMD)",859
"International Association of Online Engineering (IAOE)",857
"Schattauer GmbH",834
"Canadian Mathematical Society",830
"Vieweg+Teubner",829
"Mathematical Society of Japan (JST)",819
"Academy of Science of South Africa",817
"BMJ Publishing Group Ltd and British Society of Gastroenterology",817
"International Seed Testing Association",816
"BMJ Publishing Group Ltd and Royal College of Paediatrics and Child Health",813
"Universidad Nacional Autonoma de Mexico",812
"DE GRUYTER MOUTON",811
"Korean Society for Laboratory Medicine (KAMJE)",807
"International Research and Cooperation Association for Bio & Socio-Sciences Advancement (IRCA-BSSA)",806
"Society of American Foresters",806
"Sociedad Argentina de Pediatria",801
"Japan Society for Clinical Immunology",799
"American Osteopathic Association",797
"The Journal of Clinical Pediatric Dentistry",796
"Japan Society for Aeronautical and Space Sciences",792
"John Wiley & Sons",789
"Japanese Society of Hypertension",788
"Academy of Managed Care Pharmacy",787
"American Geophysical Union",785
"Blackwell Publishing Ltd.",776
"Harvard University Press",768
"Chapman and Hall/CRC",767
"Journal of Athletic Training/NATA",765
"Sociedade Brasileira de Quimica (SBQ)",765
"American Society for Photogrammetry and Remote Sensing",764
"Society of Materials Science, Japan",760
"Carl Hanser Verlag GmbH & Co. KG",759
"Microbiology Research Foundation",753
"Wageningen Academic Publishers",747
"ICE Publishing",746
"American Entomological Society",745
"Global Science Press",745
"Carcinological Society of Japan",739
IntechOpen,739
"Research Information Ltd.",739
"Informa UK (Informa Life Sciences)",729
"Japan Atherosclerosis Society",725
"Vittorio Klostermann GMBH",706
"American Society for Clinical Investigation",705
"Michigan State University Press",705
"American Water Works Association",702
"Department of Polymer Engineering, Scientific Society of Mechanical Engineering",702
"The Vacuum Society of Japan",701
"American Association of Avian Pathologists (AAAP)",698
"Systematic and Applied Acarology Society",691
"PNG Publications",685
Steinkopff,685
"AcademicPres (EAP) Publishing House",684
"The Korean Society of Anesthesiologists (KAMJE)",684
"Guttmacher Institute",683
"Dicle Medical Journal/Dicle Tip Dergisi",681
"Radiation Research Society",674
"Japanese Association of Inorganic Phosphorus Chemistry",672
"ISER Publications",671
"University Library System, University of Pittsburgh",669
"The Korean Academy of Asthma, Allergy and Clinical Immunology and The Korean Academy of Pediatric Al",668
"The Korean Urological Association (KAMJE)",663
"The Korean Orthopaedic Association (KAMJE)",662
"Wiley-VCH Verlag GmbH",662
"Instituto de Salud Carlos III/BNCS/SciELO Espana",658
"National Institute of Industrial Health",658
"Moksha Publishing House",657
"The University of Kansas",655
"Japanese Society of Animal Reproduction",654
"Michigan Mathematical Journal",654
"Research Institute for Mathematical Sciences, Kyoto University",652
"The Polarographic Society of Japan",652
"American Bryological and Lichenological Society",651
"Commonwealth Forestry Association",647
"The Korean Surgical Society (KAMJE)",644
"Vandenhoeck & Ruprecht GmbH & Co, KG",644
"American Society of Neuroradiology (ASNR)",637
"National Shellfisheries Association",637
"Japan Society of Plasma Science and Nuclear Fusion Research",634
"Manchester University Press",634
"The Oceanography Society",634
"Korean Academy of Periodontology (KAMJE)",632
"The Korean Academy of Prosthodontics (KAMJE)",630
"Spektrum Akademischer Verlag",629
"Society for the Study of Amphibians and Reptiles",626
"Deutscher Universitätsverlag",621
"The Japanese Association of Benthology",621
"Japan Petroleum Institute",619
"Trans Tech Publications, Ltd.",619
"Croatian Medical Journal",618
"Japan Society of Naval Architects and Ocean Engineers",614
"Instituto Nacional de Salud (Colombia)",611
"American Ornithologists' Union",607
"Herpetological Society of Japan",605
"Pesticide Science Society of Japan",604
"The Adhesion Society of Japan",604
"Mathematical Institute, Tohoku University",598
"Societe Mathematique de France",592
"Omnia Publisher SL",591
"Korean Medical Association (KAMJE)",590
"Japanese Society for the Study of Xenobiotics",586
"The Membrane Society of Japan",583
"Akademie Verlag",578
"Methodist DeBakey Cardiovascular Journal",576
"Museum and Institute of Zoology at the Polish Academy of Sciences",573
"Association for the Advancement of Artificial Intelligence (AAAI)",569
"The Korean Academy of Tuberculosis and Respiratory Diseases (KAMJE)",568
"Korean Diabetes Association (KAMJE)",567
"American Society of Nephrology (ASN)",566
"Project Euclid",566
"American Animal Hospital Association",565
"Japan Society for Cell Biology",565
"The Korean Society of Neurogastroenterology and Motility",564
"Lupus Foundation of America",561
"Ordem dos Medicos",561
"The English Linguistic Society of Japan",561
"The Japanese Association of Educational Psychology",558
"The Korean Society of Veterinary Science (KAMJE)",558
"transcript Verlag",558
"Southwestern Association of Naturalists",557
ASA,556
"The Phytopathological Society of Japan",555
"The Society for Free Radical Research Japan",554
"Association for the Study of African American Life and History (ASALH)",553
"WORLD SCIENTIFIC (EUROPE)",551
"International Society of Endovascular Specialists",547
"The Robotics Society of Japan",546
"Publishing House Technologija",544
"The Korean Fracture Society (KAMJE)",542
"University of Alberta Libraries",542
"Centre for Evaluation in Education and Science (CEON/CEES)",540
"The Mathematical Society of the Republic of China",540
"Japanese Society of Radiological Technology",539
"Society of Fiber Science and Technology Japan",539
"Deutscher Arzte-Verlag GmbH",538
"Japan Society of Equine Science",538
"S. Hirzel Verlag",537
"Waterbird Society",537
"Association of Health Investigations",534
"Japanese Urological Association",534
"The American Schools of Oriental Research",533
"Antiquity Publications",532
"The Korean Nutrition Society and The Korean Society of Community Nutrition (KAMJE)",530
"LookUs Bilisim, Ltd.",526
"Harvard Education Publishing Group",524
"John Wiley & Sons Singapore Pte. Ltd",519
"The Society for Antibacterial and Antifungal Agents, Japan",517
"Leibniz-Institute for Psychology Information (ZPID)",509
"American Oriental Society",508
"American Society of Ichthyologists and Herpetologists (ASIH)",505
"Hamad bin Khalifa University Press (HBKU Press)",505
"Korean Neurological Association (KAMJE)",502
"Society for Imaging Science & Technology",501
"The Antioch Review",495
"Alexandrine Press",494
"International Institute of Anticancer Research",494
"Uspekhi Fizicheskikh Nauk (UFN) Journal",492
"Physics Essays Publication",486
"Universitas Udayana",486
"The Korean Society of Gastroenterology (KAMJE)",484
"Peter Lang, International Academic Publishers",483
"Westburn Publishers",483
"Oregon Historical Society",482
"Indiana University Mathematics Journal",481
"International Mountain Society (IMS) and United Nations University",478
"Health and Medical Publishing Group",477
"Transcript Verlag",474
"Diva Enterprises Private Limited",472
"Japan Welding Society",470
"Naturalis Biodiversity Center",467
"International College of Surgeons",465
"American Society of Plant Taxonomists",464
"Japanese Society for Plant Cell and Molecular Biology",461
"The Charleston Co.",460
"Japan Society of Information and Knowledge",457
"Laser Society of Japan",456
"The Society of Instrument and Control Engineers",455
"Asian Society of Gynecologic Oncology; Korean Society of Gynecologic Oncology and Colposcopy (KAMJE)",452
"Korean Breast Cancer Society (KAMJE)",452
"Institute of Arctic and Alpine Research (INSTAAR)",449
"University of Veterinary and Pharmaceutical Sciences",448
"Society of Exploration Geophysicists and Brazilian Geophysical Society",446
"Universidade de Estado do Rio de Janeiro",446
"Entomological Society of Southern Africa",445
"California Botanical Society",444
"Japanese Association of Rural Medicine",443
"Soil and Water Conservation Society",442
"Island Press/Center for Resource Economics",441
"Japan Association of Mineralogical Sciences",438
"John Libbey Eurotext",438
"The Oceanographic Society of Japan",438
"Hikari, Ltd.",437
"Japan Concrete Institute",436
"F1000 Research, Ltd.",435
"Modern Language Association (MLA)",432
"The Korean Physiological Society and The Korean Society of Pharmacology (KAMJE)",432
"Fundacao Faculdade de Medicina",431
BioOne,430
"Future Science Ltd",428
"European Journal of Chemistry",426
"American Association of Petroleum Geologists",424
"De Gruyter Mouton",424
"Australian Society for the Study of Labour History",423
"Association of Avian Veterinarians (AAV)",422
"Medical Association of Nippon Medical School",422
"Missouri Botanical Garden Press",421
"Kafkas University",420
"BRNSS Publication Hub",418
"The Japanese Society of Fish Pathology",417
"The Vitamin Society of Japan",415
"Acoustical Society of America",413
"European Optical Society",413
PeerJ,413
"Journal of Infection in Developing Countries",410
"Mining and Materials Processing Institute of Japan",408
"UPV/EHU Press",408
"World Scientific",408
"Chinese Medical Sciences Journal",407
"Johnson Matthey",406
"Thomas Telford Ltd",406
"The Crystallographic Society of Japan",404
"American Academy of Implant Dentistry",403
"Historical Society of Pennsylvania",402
