"journal_name.keyword: Descending",Count
"American Journal of Clinical Pathology",32424
"Carbohydrate Research",32414
Theriogenology,32301
"Bioorganic & Medicinal Chemistry Letters",32281
"British Journal of Haematology",32280
"Bulletin of Experimental Biology and Medicine",32236
"Journal of Vascular Surgery",32200
Transplantation,32144
"Acta Crystallographica Section C Crystal Structure Communications",31966
"The Journal of the American Dental Association",31962
"Journal of Solid State Chemistry",31885
Cell,31868
"Journal of Physics B: Atomic, Molecular and Optical Physics",31854
"Lung Cancer",31811
"British Journal of Pharmacology",31340
"Archives of Dermatology",31006
"Otolaryngology-Head and Neck Surgery",30779
"Food Chemistry",30739
"International Journal of Hydrogen Energy",30738
Toxicon,30672
"Thrombosis Research",30633
"Bulletin of the Academy of Sciences of the USSR Division of Chemical Science",30595
"Journal of Hazardous Materials",30525
"Pediatric Research",30518
"The Journal of Physical Chemistry C",30483
"Journal of Mathematical Analysis and Applications",30429
"Kidney International",30404
"Journal of Aerosol Science",30356
"Marine Pollution Bulletin",30288
"Transactions of the Royal Society of Tropical Medicine and Hygiene",30272
Experientia,30263
"Journal of Mathematical Physics",30229
"Obstetrics & Gynecology",30160
"International Journal of Heat and Mass Transfer",29971
"Angewandte Chemie International Edition",29937
"Applied Mathematics and Computation",29763
"Journal of Hydrology",29755
"European Heart Journal",29718
"Journal of Physics C: Solid State Physics",29711
"Journal of Food Science",29692
"Eos, Transactions American Geophysical Union",29569
"European Journal of Operational Research",29550
"Journal of Pharmaceutical Sciences",29539
"Chemie Ingenieur Technik",29415
"Archives de Pédiatrie",29287
"Acta Paediatrica",29245
"International Journal of Pharmaceutics",29138
Tectonophysics,29126
"Cancer Letters",28921
"Linear Algebra and its Applications",28847
"Angewandte Chemie International Edition in English",28781
"American Journal of Roentgenology",28699
"Journal of Nuclear Materials",28678
Carbon,28671
"Journal of Biomechanics",28659
"physica status solidi (b)",28565
Hydrobiologia,28503
"Scientific American",28414
"Journal of Membrane Science",28170
"Agricultural and Biological Chemistry",28065
"Industrial & Engineering Chemistry",28058
"IEEE Transactions on Electron Devices",28049
"The Astrophysical Journal",28000
"American Journal of Kidney Diseases",27986
Bone,27936
"PLANT PHYSIOLOGY",27847
"Helvetica Chimica Acta",27835
"Toxicology Letters",27800
Synthesis,27690
"Human Immunology",27580
"British Journal of Cancer",27516
"Measurement Techniques",27496
"Vision Research",27455
"Astrophysics and Space Science",27378
"The Journal of Laryngology & Otology",27371
"Journal of Electroanalytical Chemistry",27345
"Journal of Chromatography B: Biomedical Sciences and Applications",27244
"Procedia Engineering",27189
"Archives of Disease in Childhood",27150
"The Laryngoscope",27133
Biomaterials,27123
"Anesthesia & Analgesia",27066
"The Journal of American History",27041
"Bulletin of the School of Oriental and African Studies",27030
"Sensors and Actuators B: Chemical",27011
"Journal of Theoretical Biology",26990
"Journal of Neurology, Neurosurgery & Psychiatry",26970
"The Journal of Comparative Neurology",26888
"Computers & Structures",26871
"Journal of Natural Products",26793
"Archives of Physical Medicine and Rehabilitation",26750
"Biology of Reproduction",26616
"International Journal of Fatigue",26577
"Journal of the Franklin Institute",26525
"Gynecologic Oncology",26173
"IEEE Transactions on Nuclear Science",26086
"Chemische Berichte",26043
"Archives of Pediatrics & Adolescent Medicine",26028
"Chemistry - A European Journal",26018
"Physica Scripta",25971
"The Musical Times",25825
"Chemistry of Materials",25800
"Biological Conservation",25518
"The Journal of Immunology",25483
"Arthritis & Rheumatism",25441
"Journal of Catalysis",25404
"Nursing Standard",25366
"Journal of Inorganic Biochemistry",25295
"Forest Ecology and Management",25284
"Animal Behaviour",25233
"Journal of High Energy Physics",25219
"Solid-State Electronics",25208
"Surface Science Letters",25199
"Journal of Oral and Maxillofacial Surgery",25170
"The Modern Language Review",25165
"Journal of Chemical & Engineering Data",25064
"The American Journal of Nursing",25040
"The Journal of Heart and Lung Transplantation",24935
"Archives of Surgery",24920
"BJA: British Journal of Anaesthesia",24910
"Polymer Science U.S.S.R.",24869
"Biotechnology Advances",24779
"Materials Letters",24769
"Biochimica et Biophysica Acta (BBA) - General Subjects",24751
"AIAA Journal",24705
"Neuroscience Research",24688
"Ceramics International",24473
Pain,24448
"The Analyst",24424
"Journal of Algebra",24399
"Digestive Diseases and Sciences",24259
"Nuclear Engineering and Design",24230
"Transactions of the Japan Society of Mechanical Engineers Series B",24215
"Public Health",24207
"Physica Status Solidi (a)",24132
"Journal of the American Geriatrics Society",24093
"Organic Letters",24068
"American Journal of Public Health",24007
"The Journal of Thoracic and Cardiovascular Surgery",24004
"The Journal of Emergency Medicine",23925
"Physics of Plasmas",23919
"Contemporary Sociology",23879
"Molecular Therapy",23874
"Economics Letters",23776
"Journal of Molecular Structure",23770
"Psychiatric Services",23736
Carcinogenesis,23608
"Pharmacology Biochemistry and Behavior",23570
"Annals of Surgery",23522
"Transactions of the Japan Society of Mechanical Engineers Series C",23472
Metabolism,23458
"European Journal of Immunology",23417
"Computer Methods in Applied Mechanics and Engineering",23395
"Biochimica et Biophysica Acta (BBA) - Bioenergetics",23384
"Experimental Neurology",23377
"The American Mathematical Monthly",23366
"Annals of the Rheumatic Diseases",23362
"Journal of Experimental Medicine",23285
Synlett,23225
"European Psychiatry",23215
"The Journal of Prosthetic Dentistry",23201
"Regulatory Peptides",23165
"Australian Veterinary Journal",23128
"Psychological Reports",23059
"Annals of Oncology",23032
"Behavioural Brain Research",23018
Neurosurgery,23006
"Food and Chemical Toxicology",22975
"Journal of Hypertension",22940
"Schizophrenia Research",22913
Ophthalmology,22902
"Journal of the American Statistical Association",22864
"Journal of Computational Physics",22861
"Molecular Immunology",22861
"American Journal of Epidemiology",22837
"Computers & Mathematics with Applications",22828
"Radiotherapy and Oncology",22817
"Physica D: Nonlinear Phenomena",22776
"Neurobiology of Aging",22740
"BJOG: An International Journal of Obstetrics and Gynaecology",22695
Blood,22666
"Clinical Orthopaedics and Related Research",22620
"RöFo - Fortschritte auf dem Gebiet der Röntgenstrahlen und der bildgebenden Verfahren",22497
"The Journal of Nervous and Mental Disease",22452
"Carbohydrate Polymers",22446
"Journal of Electroanalytical Chemistry and Interfacial Electrochemistry",22432
"IEEE Transactions on Microwave Theory and Techniques",22372
"Experimental Brain Research",22324
"Journal of Antimicrobial Chemotherapy",22282
"European Journal of Obstetrics & Gynecology and Reproductive Biology",22257
"American Journal of Physics",22234
"International Journal of Oral and Maxillofacial Surgery",22148
Fuel,22138
"The ANNALS of the American Academy of Political and Social Science",22104
Rheumatology,22082
"Proceedings of the Royal Society B: Biological Sciences",22063
"Bioresource Technology",22026
"Corrosion Science",22018
"Chemistry of Heterocyclic Compounds",21968
"Behavioral and Brain Sciences",21856
"Journal of Materials Processing Technology",21793
"Microelectronic Engineering",21774
"Classical and Quantum Gravity",21770
Neuropharmacology,21760
"Journal of Neurosurgery",21754
"Applied Catalysis A: General",21746
"Surgical Neurology",21629
"Journal of Heterocyclic Chemistry",21628
"AIChE Journal",21596
"Colloids and Surfaces A: Physicochemical and Engineering Aspects",21585
NeuroImage,21475
"British Journal of Ophthalmology",21467
Gut,21398
"IEEE Journal of Quantum Electronics",21346
"Nihon Naika Gakkai Zasshi",21335
"Theoretical Computer Science",21320
"Experimental Eye Research",21319
"Advanced Materials",21258
"ACS Applied Materials & Interfaces",21236
Psychopharmacology,21223
"European Urology Supplements",21189
"Plant and Soil",21171
"Perceptual and Motor Skills",21138
"Poultry Science",21115
"Medical Hypotheses",21024
"Annals of Neurology",21009
Heart,20993
"International Journal of Quantum Chemistry",20986
"Nuclear Instruments and Methods",20935
Toxicology,20882
"Journal of Clinical Pathology",20806
"Clinical Neurophysiology",20801
"Geophysical Journal International",20747
Composites,20742
"Palaeogeography, Palaeoclimatology, Palaeoecology",20723
"Journal of Pharmacy and Pharmacology",20717
"Diseases of the Colon & Rectum",20710
"Nephrology Dialysis Transplantation",20710
"Journal of the Science of Food and Agriculture",20675
"Journal of the European Academy of Dermatology and Venereology",20670
"Postgraduate Medical Journal",20660
"Journal of Luminescence",20655
"Journal of Molecular Spectroscopy",20654
"Physics in Medicine and Biology",20615
"Zeitschrift f�r anorganische und allgemeine Chemie",20603
"Biochimica et Biophysica Acta (BBA) - Lipids and Lipid Metabolism",20553
"Journal of Physics B: Atomic and Molecular Physics",20550
"Annales Françaises d'Anesthésie et de Réanimation",20543
"The Journal of Trauma: Injury, Infection, and Critical Care",20418
"Filtration & Separation",20406
"Die Naturwissenschaften",20405
"Archives of Clinical Neuropsychology",20380
"Social Science & Medicine",20337
"Water Resources Research",20308
"The American Journal of Emergency Medicine",20236
Nursing,20186
"European Polymer Journal",20176
"Proceedings of the Royal Society A: Mathematical, Physical and Engineering Sciences",20098
"IEEE Photonics Technology Letters",20069
"The Modern Language Journal",20030
"Reinforced Plastics",19944
"Applied Microbiology and Biotechnology",19938
"Human Reproduction",19936
"Discrete Mathematics",19903
"Archives of Otolaryngology - Head and Neck Surgery",19899
"JNCI Journal of the National Cancer Institute",19892
"Acta Medica Scandinavica",19886
"Bulletin of Environmental Contamination and Toxicology",19884
"Molecular Microbiology",19862
"Biotechnology and Bioengineering",19841
"Chemical Communications",19810
Ferroelectrics,19776
"Chemical Engineering Journal",19765
"Environmental Pollution",19704
"Journal of Computational and Applied Mathematics",19695
"Journal of Ethnopharmacology",19674
"The American Journal of Gastroenterology",19633
"Journal of Psychosomatic Research",19611
"Journal of Vacuum Science & Technology A: Vacuum, Surfaces, and Films",19602
Desalination,19541
"Journal of Physics and Chemistry of Solids",19517
"Journal of Applied Spectroscopy",19480
"Medicine & Science in Sports & Exercise",19449
"American Journal of Medical Genetics",19399
"American Journal of Infection Control",19347
"Nature Biotechnology",19289
"Journal of Polymer Science Part A: Polymer Chemistry",19276
"Journal of the American Dietetic Association",19255
"Diabetes Care",19248
"ANZ Journal of Surgery",19242
"Journal of Quantitative Spectroscopy and Radiative Transfer",19192
"Archives of Neurology",19191
"Materials & Design",19120
"Journal of Personality and Social Psychology",19103
"Bioorganic & Medicinal Chemistry",19102
Peptides,19101
"Postgraduate Medicine",19086
Neuron,19070
"Computer Physics Communications",19068
Resuscitation,19062
"Journal of Vacuum Science & Technology B: Microelectronics and Nanometer Structures",19058
"Molecular and Cellular Endocrinology",19048
"Planta Medica",19040
"Oral Surgery, Oral Medicine, Oral Pathology",18987
Spine,18948
"IOP Conference Series: Earth and Environmental Science",18937
"Journal of Cataract & Refractive Surgery",18886
"Energy & Fuels",18881
"Nuclear Physics B - Proceedings Supplements",18870
Ecology,18854
"Chemical Geology",18845
"Journal of Advanced Nursing",18795
"Microwave and Optical Technology Letters",18784
"Powder Technology",18771
"Molecular and Cellular Biology",18761
"Journal of Experimental Botany",18690
"Journal of Immunological Methods",18684
"Pacing and Clinical Electrophysiology",18662
"Nature Communications",18640
"Journal of Cellular Physiology",18628
"Social Forces",18613
"Clinical Chemistry",18602
"International Journal of Pediatric Otorhinolaryngology",18599
"NIPPON SUISAN GAKKAISHI",18566
"The Journal of Biochemistry",18523
"JNCI: Journal of the National Cancer Institute",18516
Diabetes,18497
"Energy Policy",18484
"Long Range Planning",18467
"Soil Biology and Biochemistry",18467
"Atherosclerosis Supplements",18448
"Planetary and Space Science",18419
"Human Pathology",18417
"Toxicology and Applied Pharmacology",18411
"World Journal of Surgery",18381
"Veterinary Record",18361
"Journal of the Chemical Society, Chemical Communications",18345
"Survey of Anesthesiology",18334
"Chemistry of Natural Compounds",18212
Energy,18194
"British Journal of Nutrition",18191
"Journal of Steroid Biochemistry",18162
"Journal of Cardiac Failure",18112
"Journal of the Less Common Metals",18099
Reactions,18058
"Analytical and Bioanalytical Chemistry",18049
"Cellular Immunology",18037
"The Journal of Hand Surgery",18002
"physica status solidi (a)",17991
"New Phytologist",17980
"Cell and Tissue Research",17963
Synfacts,17910
"The Geographical Journal",17869
"European Journal of Cancer Supplements",17851
"Acta Oto-Laryngologica",17812
Contraception,17798
"The International Journal of Advanced Manufacturing Technology",17761
"Molecular Physics",17751
"The Expository Times",17745
"Cardiovascular Research",17727
"Review & Expositor",17716
"Journal of Materials Science Letters",17685
"Journal of Pharmaceutical and Biomedical Analysis",17656
"Journal of Cleaner Production",17654
Transfusion,17647
"International Journal of Dermatology",17621
"Fuzzy Sets and Systems",17603
"Southern Medical Journal",17585
"Books Abroad",17571
"Academic Medicine",17529
"The Journal of Agricultural Science",17523
"Energy Procedia",17491
"Brain Research Bulletin",17454
"PharmacoEconomics & Outcomes News",17431
"Chemischer Informationsdienst. Organische Chemie",17430
"Acta Radiologica",17422
"Acta Crystallographica Section E Structure Reports Online",17414
"The Indian Journal of Pediatrics",17366
"Acta Psychiatrica Scandinavica",17365
"School Science and Mathematics",17346
"Orthopedics & Traumatology",17324
"Journal of Biotechnology",17291
"Environmental Entomology",17269
"Atmospheric Environment",17232
"Environment International",17232
"Czechoslovak Journal of Physics",17207
Sensors,17188
"Physiologia Plantarum",17152
"Measurement Science and Technology",17143
Thorax,17140
"Catalysis Today",17063
"Biology of Blood and Marrow Transplantation",17056
"Obstetrical & Gynecological Survey",17054
"Journal of Molecular Structure: THEOCHEM",17049
"British Journal of Oral and Maxillofacial Surgery",17047
Diabetologia,17044
"Statistics & Probability Letters",17011
"IEEE Transactions on Information Theory",16982
Epilepsia,16981
Oncogene,16969
"The Journal of Economic History",16965
"Physics World",16951
"Photochemistry and Photobiology",16950
"The Journal of Finance",16925
"Journal of Infection",16897
"Fluid Phase Equilibria",16878
"Archiv der Pharmazie",16868
"Psychological Medicine",16865
"British Dental Journal",16781
"Chemical & Engineering News Archive",16764
"Polymer Degradation and Stability",16748
"Veterinary Parasitology",16715
"European Journal of Medicinal Chemistry",16707
"International Journal of Molecular Sciences",16706
"Journal of Dairy Science",16699
"IEEE Transactions on Communications",16696
"Berichte der Bunsengesellschaft für physikalische Chemie",16694
"Nippon Jibiinkoka Gakkai Kaiho",16581
"Discrete Applied Mathematics",16579
"Applied Energy",16530
"Deep Sea Research Part B. Oceanographic Literature Review",16523
"Transactions of the American Mathematical Society",16523
"The Gerontologist",16514
"Enzyme and Microbial Technology",16504
"Transactions of the Japan Society of Mechanical Engineers Series A",16502
"Forensic Science International",16495
"Neuromuscular Disorders",16478
Computer,16476
"Journal of Cardiothoracic and Vascular Anesthesia",16464
"International Journal of Biological Macromolecules",16456
"Comparative Biochemistry and Physiology Part A: Physiology",16451
"Journal of Neuroscience Methods",16445
"Applied Spectroscopy",16444
"Annals of Botany",16439
"Solar Energy",16415
"Surgical Endoscopy",16414
"Microprocessors and Microsystems",16401
"Journal of Nutrition Education",16372
"Communications in Theoretical Physics",16329
Ultrasonics,16312
"Clinical Nutrition",16263
"Hyperfine Interactions",16216
Burns,16180
"IEEE Power Engineering Review",16171
"Journal of Electronic Materials",16109
Speculum,16102
"Semiconductor Science and Technology",16081
"Plant Science",16045
"Journal of Geophysical Research: Solid Earth",16040
"Composites Science and Technology",16031
"The Journal of Asian Studies",16012
"American Journal of Public Health and the Nations Health",15925
"International Journal of Psychophysiology",15880
"British Journal of Clinical Pharmacology",15862
"International Journal of Infectious Diseases",15862
Cryobiology,15857
"Scientia Horticulturae",15851
"Journal of Statistical Physics",15846
"Acta Neurochirurgica",15814
"Personality and Individual Differences",15805
Brain,15800
"Annals of the Entomological Society of America",15794
"Trends in Ecology & Evolution",15774
"Journal of Radioanalytical and Nuclear Chemistry",15758
"Journal of Thermal Analysis and Calorimetry",15747
"Behaviour Research and Therapy",15739
"BJU International",15731
"The Anatomical Record",15719
"YAKUGAKU ZASSHI",15710
"Mutation Research/Fundamental and Molecular Mechanisms of Mutagenesis",15698
"General and Comparative Endocrinology",15686
"Psychiatry Research",15680
"Drug and Alcohol Dependence",15656
Evolution,15623
"Immunology Letters",15623
Genomics,15621
Cytokine,15619
Automatica,15618
"European Journal of Neuroscience",15616
"Journal of Dental Research",15611
"Nachrichten aus Chemie, Technik und Laboratorium",15611
"Clinical Biochemistry",15578
"BioMed Research International",15569
"The English Journal",15564
Maturitas,15551
Icarus,15541
"Journal of Fluorine Chemistry",15540
"Oral Surgery, Oral Medicine, Oral Pathology, Oral Radiology, and Endodontology",15487
"Clinical Nuclear Medicine",15465
"Construction and Building Materials",15455
"Journal of the American Academy of Child & Adolescent Psychiatry",15452
"The Economic Journal",15448
"Journal of Food Engineering",15438
"The Mathematical Gazette",15427
"Journal of Fish Biology",15417
Microbiology,15417
"Communications in Mathematical Physics",15414
"Medical Physics",15383
"International Journal of Solids and Structures",15344
"Proceedings of the IEEE",15323
"Journal of Hospital Infection",15322
Ultramicroscopy,15308
"Europhysics Letters (EPL)",15298
"American Journal of Physical Anthropology",15292
"Journal of Adolescent Health",15278
"The Journal of Infectious Diseases",15278
"Österreichische Musikzeitschrift",15250
"Applied Thermal Engineering",15247
"Notes and Queries",15234
"Tetrahedron: Asymmetry",15229
Planta,15228
"Leukemia Research",15226
"The Journal of Arthroplasty",15185
"Biotechnology Letters",15183
Bioinformatics,15177
"Diabetes Research and Clinical Practice",15174
Endoscopy,15163
"Radiation Protection Dosimetry",15142
"Trends in Neurosciences",15139
"Journal of Applied Physiology",15101
"Glass and Ceramics",15074
"The Economic History Review",15027
"Journal of General Virology",15023
"Quaternary International",14984
"Journal of Neuroimmunology",14983
"Clinical Endocrinology",14966
"Journal of Endodontics",14940
"Contact Dermatitis",14934
"Journal of Physics E: Scientific Instruments",14929
"Arthroscopy: The Journal of Arthroscopic & Related Surgery",14927
"Molecular and Cellular Biochemistry",14922
"Expert Systems with Applications",14896
Nanotechnology,14892
"Materials Chemistry and Physics",14859
"Nuclear Fusion",14859
"Engineering Fracture Mechanics",14857
"Annals of Physics",14836
"Physics of the Earth and Planetary Interiors",14830
"Materials Research Bulletin",14818
"British Journal of Urology",14815
"Acta Physiologica Scandinavica",14807
"Acta Astronautica",14795
"Environmental Science and Pollution Research",14792
"Strength of Materials",14782
"The Journal of Ecclesiastical History",14764
"Sensors and Actuators A: Physical",14761
"Soil Science Society of America Journal",14761
"Quarterly Journal of the Royal Meteorological Society",14750
"Annals of Plastic Surgery",14746
Technometrics,14738
"European Journal of Pediatrics",14736
Chromatographia,14710
"Journal of Clinical Epidemiology",14706
"Chemical and Petroleum Engineering",14679
"International Journal of Epidemiology",14679
"Ultrasound in Medicine & Biology",14672
"American Journal of Botany",14649
"Pediatric Radiology",14626
"Journal of Experimental Marine Biology and Ecology",14615
"Die Makromolekulare Chemie",14608
"European Journal of Organic Chemistry",14592
"Computers & Security",14589
"Hearing Research",14589
"Journal of Structural Chemistry",14580
"The American Biology Teacher",14579
"Journal of Geophysical Research: Atmospheres",14575
"The EMBO Journal",14560
Parasitology,14548
Metallurgist,14519
"Archives of Oral Biology",14501
"The Journal of Theological Studies",14498
"Combustion and Flame",14482
"Food / Nahrung",14474
"Free Radical Biology and Medicine",14453
"Journal of Physics G: Nuclear and Particle Physics",14452
"Pattern Recognition",14447
"Metal Science and Heat Treatment",14442
"Acta Anaesthesiologica Scandinavica",14408
Steroids,14408
"Materials and Corrosion/Werkstoffe und Korrosion",14404
"Gait & Posture",14400
"Journal of Low Temperature Physics",14394
"Optometry and Vision Science",14366
"Journal of Differential Equations",14363
Geoderma,14356
Surgery,14327
"Pharmaceutical Chemistry Journal",14318
"Canadian Journal of Chemistry",14300
"IEEE Transactions on Instrumentation and Measurement",14291
"Physics Bulletin",14277
"Composite Structures",14263
Molecules,14259
"Marine Geology",14212
"Mathematische Zeitschrift",14182
"Journal of Cellular Biochemistry",14165
"Archives of Virology",14139
"Cement and Concrete Research",14113
"Magnetic Resonance in Medicine",14099
"Journal of Wind Engineering and Industrial Aerodynamics",14093
"Microscopy and Microanalysis",14090
"IEEE Journal of Solid-State Circuits",14076
"Comparative Biochemistry and Physiology Part B: Comparative Biochemistry",14075
"Age and Ageing",14067
"Marine Biology",14064
"Meat Science",14055
"European Journal of Surgical Oncology (EJSO)",14050
"Synthetic Communications",14049
"Additives for Polymers",14048
"Nature Medicine",14044
"Microchemical Journal",14020
"Biosensors and Bioelectronics",14018
"Muscle & Nerve",14012
"Nonlinear Analysis: Theory, Methods & Applications",14010
"Animal Feed Science and Technology",14002
BioScience,13991
"Journal of Chromatography B",13983
"Journal of Neuroscience Research",13981
"Journal of Geophysical Research: Space Physics",13980
"Philosophical Transactions of the Royal Society B: Biological Sciences",13961
"Journal of School Health",13924
"Bunseki kagaku",13894
"Intensive Care Medicine",13869
"The Journal of Antibiotics",13845
"American Journal of Agricultural Economics",13844
"Metallurgical and Materials Transactions A",13835
"Otolaryngology - Head and Neck Surgery",13835
"Applied Ergonomics",13832
"Annals of Nuclear Energy",13801
"Russian Chemical Bulletin",13789
"Computer Communications",13762
"Topology and its Applications",13758
"Journal of Applied Psychology",13736
"Environmental Monitoring and Assessment",13704
"International Journal for Numerical Methods in Engineering",13668
"Journal of Nanoscience and Nanotechnology",13668
"Heart, Lung and Circulation",13666
"PS: Political Science & Politics",13652
"Inorganica Chimica Acta",13648
"Trends in Pharmacological Sciences",13642
"Computer-Aided Design",13625
"Veterinary Immunology and Immunopathology",13624
"IEEE Spectrum",13620
